target_id	length	eff_length	Adur_4	Adur_4_tpm
arahy.Tifrunner.gnm2.ann1.T02M6I.1	1557	1376.6	8.0554	0.0755382
arahy.Tifrunner.gnm2.ann1.N3C08T.1	1350	1169.6	0	0
arahy.Tifrunner.gnm2.ann1.A8YQ06.1	1401	1220.6	0	0
arahy.Tifrunner.gnm2.ann1.0AB4R7.1	1542	1361.6	0	0
arahy.Tifrunner.gnm2.ann1.FVFA65.1	1113	932.605	0	0
arahy.Tifrunner.gnm2.ann1.KKZ0LN.1	633	452.988	108	3.0777
arahy.Tifrunner.gnm2.ann1.7K8IWY.1	879	698.643	0	0
arahy.Tifrunner.gnm2.ann1.G6BTHS.1	3468	3287.6	0	0
arahy.Tifrunner.gnm2.ann1.51INSQ.1	1431	1250.6	121	1.24898
arahy.Tifrunner.gnm2.ann1.47DXFL.1	969	788.625	54.8384	0.897643
arahy.Tifrunner.gnm2.ann1.N76PQP.1	1119	938.605	336.676	4.6304
arahy.Tifrunner.gnm2.ann1.RL0B30.1	756	575.869	6.57752	0.147444
arahy.Tifrunner.gnm2.ann1.D2UEQ8.1	249	85.1216	1	0.151652
arahy.Tifrunner.gnm2.ann1.5KI8FH.1	1278	1097.6	9	0.105849
arahy.Tifrunner.gnm2.ann1.ITS9LF.1	1392	1211.6	1.45908	0.0155456
arahy.Tifrunner.gnm2.ann1.WF7TJ5.1	1506	1325.6	58	0.564811
arahy.Tifrunner.gnm2.ann1.P4LK2T.1	1314	1133.6	18.1304	0.206459
arahy.Tifrunner.gnm2.ann1.SQM22L.1	843	662.745	6	0.116868
arahy.Tifrunner.gnm2.ann1.51ZP46.1	2544	2363.6	794	4.33645
arahy.Tifrunner.gnm2.ann1.XHZZ6B.1	957	776.625	1	0.0166218
arahy.Tifrunner.gnm2.ann1.L7KCN6.1	1497	1316.6	217.232	2.12989
arahy.Tifrunner.gnm2.ann1.IZ6ERU.1	552	372.081	0	0
arahy.Tifrunner.gnm2.ann1.DFQ1AC.1	1686	1505.6	217.2	1.86225
arahy.Tifrunner.gnm2.ann1.DB5N6F.1	468	288.655	0	0
arahy.Tifrunner.gnm2.ann1.JQTE0Q.1	702	521.951	258	6.38085
arahy.Tifrunner.gnm2.ann1.QUQ0BV.1	273	104.604	0	0
arahy.Tifrunner.gnm2.ann1.LG0JC8.1	255	89.916	0	0
arahy.Tifrunner.gnm2.ann1.K4K5W1.1	426	247.153	230.932	12.0617
arahy.Tifrunner.gnm2.ann1.MZH3JZ.1	207	54.523	11	2.60437
arahy.Tifrunner.gnm2.ann1.8HB0N1.1	249	85.1216	23.5313	3.56857
arahy.Tifrunner.gnm2.ann1.J2QE2W.1	237	75.7945	0	0
arahy.Tifrunner.gnm2.ann1.A3328F.1	1245	1064.6	0	0
arahy.Tifrunner.gnm2.ann1.NX7S1R.1	984	803.625	0	0
arahy.Tifrunner.gnm2.ann1.7DDS65.1	894	713.625	0	0
arahy.Tifrunner.gnm2.ann1.K7Q4QF.2	1749	1568.6	65.1589	0.536228
arahy.Tifrunner.gnm2.ann1.G8VJVT.1	318	144.496	10	0.893374
arahy.Tifrunner.gnm2.ann1.7H1L6U.1	1425	1244.6	2	0.0207438
arahy.Tifrunner.gnm2.ann1.HU2SAR.1	2196	2015.6	14.5653	0.0932834
arahy.Tifrunner.gnm2.ann1.77VAAJ.1	318	144.496	0	0
arahy.Tifrunner.gnm2.ann1.T5R681.1	1035	854.605	0	0
