target_id	category	PatMatFC	DadMomFC	MatMomFC	PatDadFC	PolyRank	DipRank	MomRank	DadRank
AsAa_g7888_AsAt_g11963	Not-organelle-targeted	7.89301537093196	2.1493210976237	-4.66276664164396	NA	91	1401	103	NA
AsAa_g21350_AsAt_g19320	Not-organelle-targeted	-7.86422221457585	1.82625059386337	1.4194506258409	-8.2661118447625	92	1807	1077	49
AsAa_g12633_AsAt_g10990	Not-organelle-targeted	7.8341268690747	NA	NA	8.71698808017947	93	NA	NA	44
AsAa_g7935_AsAt_g11928	Not-organelle-targeted	-7.82745661475347	-9.89081875865702	NA	NA	94	21	NA	NA
AsAa_g1918_AsAt_g1895	Not-organelle-targeted	7.72346207006494	2.88667618785898	NA	1.38116220083771	95	831	NA	1301
AsAa_g21566_AsAt_g18857	Not-organelle-targeted	7.63240518686456	-2.63502001966548	-5.32502652321771	4.90997082572003	96	987	61	144
AsAa_g11327_AsAt_g7366	Plastid-targeted_Non-interacting	7.60228818626964	4.74523828793285	NA	2.28763118875644	97	283	NA	583
AsAa_g6437_AsAt_g5446	Plastid-targeted_Interacting	7.60005253850446	4.59711528348175	NA	NA	98	308	NA	NA
AsAa_g17034_AsAt_g16355	Not-organelle-targeted	7.51033507871907	NA	NA	7.99794578641546	99	NA	NA	50
AsAa_g20843_AsAt_g19433	Not-organelle-targeted	-7.43447680931019	NA	NA	-7.54300063298076	100	NA	NA	57
AsAa_g11418_AsAt_g7311	Not-organelle-targeted	7.38306278289821	6.25914004494879	NA	-1.10334910270007	101	118	NA	1807
AsAa_g23282_AsAt_g17228	Not-organelle-targeted	7.31307604671073	8.18454614429549	NA	NA	102	40	NA	NA
AsAa_g16624_AsAt_g20100	Not-organelle-targeted	7.30793386243485	6.54631308643307	NA	2.53573094004263	103	105	NA	485
AsAa_g18070_AsAt_g14125	Not-organelle-targeted	7.30592179216367	5.71274209470102	NA	1.3691968962832	104	151	NA	1320
AsAa_g179_AsAt_g3564	Not-organelle-targeted	7.28376422301368	7.09592823549029	NA	NA	105	74	NA	NA
AsAa_g10449_AsAt_g8149	Not-organelle-targeted	-7.26418070244927	NA	0.823559697484832	-6.54421894091618	106	NA	1900	85
AsAa_g4234_AsAt_g5364	Not-organelle-targeted	7.21985186420041	NA	NA	NA	107	NA	NA	NA
AsAa_g4853_AsAt_g4766	Not-organelle-targeted	7.15427137434575	3.70362987981624	-2.50474446701823	0.847121150109067	108	508	476	2445
AsAa_g15187_AsAt_g21509	Not-organelle-targeted	7.14093972478658	3.65408332116716	NA	NA	109	522	NA	NA
AsAa_g9260_AsAt_g9248	Not-organelle-targeted	-7.13925195069141	NA	NA	-5.52636266823269	110	NA	NA	112
AsAa_g9837_AsAt_g8721	Not-organelle-targeted	7.1261188425936	6.79841647526271	NA	NA	111	88	NA	NA
AsAa_g16465_AsAt_g20256	Not-organelle-targeted	7.1240580458258	NA	NA	4.36894549679743	112	NA	NA	176
AsAa_g7119_AsAt_g13213	Not-organelle-targeted	-7.10549901957828	-2.23487703501936	-1.23530831792832	-6.11186214508617	113	1312	1272	93
AsAa_g7147_AsAt_g12698	Not-organelle-targeted	-7.08054740866666	-6.88427658856009	NA	NA	114	82	NA	NA
AsAa_g5128_AsAt_g4521	Not-organelle-targeted	-7.06685249029409	NA	NA	NA	115	NA	NA	NA
AsAa_g9246_AsAt_g9262	Not-organelle-targeted	-7.05493044850614	1.417107930876	1.1753574253187	-7.29661669188876	116	2603	1347	63
AsAa_g10158_AsAt_g8430	Not-organelle-targeted	-6.98443127369539	-2.47327949612802	NA	-4.02341480300305	117	1095	NA	199
AsAa_g4947_AsAt_g4675	Not-organelle-targeted	6.9777424909303	1.2098147093535	-4.89926540793739	NA	118	3136	89	NA
AsAa_g19611_AsAt_g15644	Not-organelle-targeted	6.9749302916342	4.88647450596191	NA	0.952188088523617	119	257	NA	2156
AsAa_g17351_AsAt_g16845	Not-organelle-targeted	6.95872363996162	6.87975600659822	NA	NA	120	84	NA	NA
AsAa_g21115_AsAt_g19120	Not-organelle-targeted	-6.94592891307975	-1.62317652079053	NA	-5.38030127809829	121	2145	NA	121
AsAa_g1077_AsAt_g2705	Not-organelle-targeted	-6.93532597345273	-2.91105887358617	NA	-4.65621171768722	122	821	NA	151
AsAa_g9257_AsAt_g9252	Not-organelle-targeted	-6.84009775353024	NA	1.09836457028305	-6.08820482357853	123	NA	1458	95
AsAa_g8228_AsAt_g11652	Not-organelle-targeted	-6.83184379472952	-6.46921455537689	0.502952544980163	NA	124	108	2579	NA
AsAa_g8703_AsAt_g6397	Mitochondria-targeted_Non-interacting	-6.824729606977	-3.21641073158213	NA	-4.06134082039306	125	681	NA	192
AsAa_g9314_AsAt_g9193	Not-organelle-targeted	-6.81807539886591	0.591630386551999	0.825539879402925	-6.5958281983221	126	5402	1894	83
AsAa_g23101_AsAt_g17417	Not-organelle-targeted	-6.78574219575934	-5.45527404696404	NA	NA	127	183	NA	NA
AsAa_g7791_AsAt_g12065	Not-organelle-targeted	6.6934908638993	5.42018515350555	NA	0.633610174010916	128	187	NA	3138
AsAa_g11172_AsAt_g7468	Not-organelle-targeted	-6.65401099244248	0.939983053087863	NA	-7.27419889647858	129	4039	NA	64
AsAa_g410_AsAt_g3346	Not-organelle-targeted	6.61345651590445	6.65838347527598	NA	NA	130	97	NA	NA
AsAa_g9292_AsAt_g9216	Not-organelle-targeted	-6.60354807158356	NA	NA	-5.47422570329446	131	NA	NA	115
AsAa_g4434_AsAt_g5168	Not-organelle-targeted	6.57968667371705	NA	NA	7.01517414952291	132	NA	NA	76
AsAa_g3570_AsAt_g249	Not-organelle-targeted	-6.5636025523603	NA	NA	-6.59548449559786	133	NA	NA	84
AsAa_g18992_AsAt_g15036	Not-organelle-targeted	6.56079323767402	NA	NA	7.14703538157979	134	NA	NA	68
AsAa_g20334_AsAt_g19898	Not-organelle-targeted	6.55943299328066	3.33099406863022	NA	2.2404501701721	135	640	NA	600
AsAa_g13726_AsAt_g9941	Not-organelle-targeted	6.54101034718845	NA	NA	4.5601175699726	136	NA	NA	164
AsAa_g4624_AsAt_g4976	Not-organelle-targeted	6.49328871997719	NA	NA	NA	137	NA	NA	NA
AsAa_g8241_AsAt_g11642	Not-organelle-targeted	-6.48428104922792	-5.4901003778866	NA	NA	138	176	NA	NA
AsAa_g4657_AsAt_g4945	Not-organelle-targeted	6.41587715012172	NA	NA	5.19549024804852	139	NA	NA	129
AsAa_g9277_AsAt_g9232	Plastid-targeted_Non-interacting	-6.41406032354746	NA	NA	-5.3061001828744	140	NA	NA	124
AsAa_g23119_AsAt_g17393	Not-organelle-targeted	6.39901017167503	2.8955551213922	NA	4.77616978373749	141	827	NA	146
AsAa_g16600_AsAt_g20131	Not-organelle-targeted	6.38409948224333	NA	NA	7.07763895553506	142	NA	NA	73
AsAa_g15705_AsAt_g21006	Not-organelle-targeted	-6.38182104605244	NA	NA	NA	143	NA	NA	NA
AsAa_g10678_AsAt_g7930	Not-organelle-targeted	6.27217131015706	NA	NA	7.19217757992735	144	NA	NA	65
AsAa_g15688_AsAt_g21022	Not-organelle-targeted	6.26987956490629	4.28208140785373	-2.44356688312783	NA	145	373	498	NA
AsAa_g6708_AsAt_g12796	Not-organelle-targeted	6.22119722397846	7.87433712236608	NA	NA	146	52	NA	NA
