target_id	length	eff_length	Asue_2	Asue_2_tpm
AsAt_g2387	2532	2352.93	819.902	4.01827
AsAt_g10933	966	786.98	0	0
AsAa_g17418	4506	4326.93	1748.23	4.65915
AsAt_g2901	1086	906.926	0	0
AsAt_g16717	3990	3810.93	1	0.00302591
AsAt_g2424	1137	957.926	77.375	0.93144
AsAt_g10096	909	729.98	305.017	4.81835
AsAa_g12998	1092	912.926	384.602	4.85805
AsAt_g3190	510	331.218	0	0
AsAt_g8823	966	786.98	143.546	2.10336
AsAt_g6432	1215	1035.93	0	0
AsAa_g10427	777	597.98	3	0.0578523
AsAa_g14516	1221	1041.93	2	0.022135
AsAa_g3561	873	693.98	68.1652	1.13267
AsAt_g15816	1290	1110.93	282.659	2.93402
AsAa_g10684	1584	1404.93	226.36	1.85794
AsAt_g12875	630	451.011	63	1.61079
AsAt_g13285	2130	1950.93	581.277	3.43581
AsAt_g4028	363	186.934	0	0
AsAt_g7478	2994	2814.93	0	0
AsAt_g6588	1581	1401.93	222	1.82606
AsAa_g226	579	400.055	149.821	4.31855
AsAa_g1059	654	474.98	52	1.26245
AsAt_g16829	465	286.549	1	0.0402427
AsAt_g11270	816	636.98	21.3342	0.386221
AsAt_g4715	1893	1713.93	290.491	1.95446
AsAa_g11490	1650	1470.93	12	0.0940755
AsAa_g18280	1254	1074.93	19	0.203827
AsAt_g14534	858	678.98	333.242	5.65965
AsAt_g222	1410	1230.93	26.8387	0.251429
AsAa_g16426	1461	1281.93	8	0.0719636
AsAa_g20094	2397	2217.93	199.977	1.03973
AsAa_g7474	1467	1287.93	345.704	3.09527
AsAt_g17829	576	397.055	0	0
AsAa_g19884	891	711.98	4	0.0647856
AsAt_g11218	408	230.473	786.462	39.35
AsAt_g10099	2139	1959.93	154.648	0.909895
AsAt_g16052	723	543.98	100.134	2.12267
AsAt_g19052	645	466.011	36	0.890825
AsAa_g10024	393	215.831	142.755	7.62719
AsAt_g20529	2472	2292.93	394.831	1.98567
AsAt_g4938	1476	1296.93	228.733	2.03376
AsAt_g18682	747	567.98	205	4.16205
AsAa_g922	1110	930.926	3	0.0371614
AsAt_g3152	1368	1188.93	162.616	1.57722
AsAa_g11503	2268	2088.93	100.932	0.557174
AsAa_g15816	780	600.98	186.727	3.58288
AsAt_g18304	342	167.129	630.738	43.5193
AsAa_g20985	1317	1137.93	890.819	9.02738
AsAt_g20297	1995	1815.93	2.22222	0.0141116
AsAa_g10857	246	84.7767	0	0
AsAa_g4986	588	409.055	0	0
AsAa_g10669	918	738.98	0	0
