Not-organelle-targeted	Organelle-targeted	Organelle-targeted_Interacting	Organelle-targeted_Non-interacting	Enzyme_Complexes	Mitochondria-targeted	Plastid-targeted	Mitochondria-targeted_Interacting	Mitochondria-targeted_Non-interacting	Mitochondria_Enzyme_Complexes	Plastid-targeted_Interacting	Plastid-targeted_Non-interacting	Plastid_Enzyme_Complexes	mt-DNA_RRR	mt-Mito_TAT	mt-Mitoribosome	mt-Mitoribosome;Large_Subunit	mt-Mitoribosome;Small_Subunit	mt-OXPHOS	mt-OXPHOS;Complex_I	mt-OXPHOS;Complex_III	mt-OXPHOS;Complex_IV	mt-OXPHOS;Complex_V	mt-PPR	mt-Transcription_and_Transcript_Maturation	mt-Transcription_and_Transcript_Maturation;Intron_Splicing	mt-Transcription_and_Transcript_Maturation;RNA_Polymerase	mt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	mt-Transcription_and_Transcript_Maturation;mTERF	mt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	mt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	mt-tRNA_Aminoacylation	pt-ACCase	pt-CLP	pt-Chlororibosome	pt-Chlororibosome;Large_Subunit	pt-Chlororibosome;Small_Subunit	pt-DNA_RRR	pt-PPR	pt-Photosynthesis	pt-Photosynthesis;ATP_Synthase	pt-Photosynthesis;Cytochrome_b6f	pt-Photosynthesis;NDH	pt-Photosynthesis;PSI	pt-Photosynthesis;PSII	pt-Photosynthesis;Rubisco	pt-Transcription_and_Transcript_Maturation	pt-Transcription_and_Transcript_Maturation;Intron_Splicing	pt-Transcription_and_Transcript_Maturation;RNA_Polymerase	pt-Transcription_and_Transcript_Maturation;Sigma_Factor	pt-Transcription_and_Transcript_Maturation;Transcript_End_Processing	pt-Transcription_and_Transcript_Maturation;mTERF	pt-Transcription_and_Transcript_Maturation;rRNA_Base_Modification	pt-Transcription_and_Transcript_Maturation;tRNA_Base_Modification	pt-tRNA_Aminoacylation
AUR62039579																																																							
AUR62039577																																																							
AUR62039578																																																							
AUR62039580																																																							
AUR62039581																																																							
AUR62039583																																																							
AUR62039582																																																							
AUR62039584																																																							
AUR62039585																																																							
AUR62039587																																																							
AUR62039588																																																							
AUR62039589																																																							
AUR62039590																																																							
AUR62039592																																																							
AUR62039591																																																							
AUR62039593																																																							
AUR62039594																																																							
AUR62039596																																																							
AUR62039597																																																							
AUR62039600																																																							
AUR62039598																																																							
AUR62039599																																																							
AUR62039602																																																							
AUR62039605																																																							
AUR62039603																																																							
AUR62039606																																																							
AUR62039601																																																							
AUR62039607																																																							
AUR62039604																																																							
AUR62044044																																																							
AUR62029830																																																							
AUR62029828																																																							
AUR62029829																																																							
AUR62029831																																																							
AUR62029832																																																							
AUR62029833																																																							
AUR62029835																																																							
AUR62029834																																																							
AUR62029837																																																							
AUR62029836																																																							
AUR62029838																																																							
AUR62029840																																																							
AUR62029841																																																							
AUR62029839																																																							
AUR62029844																																																							
AUR62029842																																																							
AUR62029845																																																							
AUR62029847																																																							
AUR62029851																																																							
AUR62029850																																																							
AUR62029849																																																							
AUR62029848																																																							
AUR62029852																																																							
AUR62029853																																																							
AUR62029854																																																							
AUR62029857																																																							
AUR62029858																																																							
AUR62029860																																																							
AUR62029859																																																							
AUR62029862																																																							
AUR62029864																																																							
AUR62029865																																																							
AUR62029866																																																							
AUR62029868																																																							
AUR62029869																																																							
AUR62029871																																																							
AUR62029870																																																							
AUR62029872																																																							
AUR62029873																																																							
AUR62029874																																																							
AUR62029875																																																							
AUR62029876																																																							
AUR62029879																																																							
AUR62029878																																																							
AUR62029882																																																							
AUR62029881																																																							
AUR62029885																																																							
AUR62029884																																																							
AUR62029883																																																							
AUR62029888																																																							
AUR62029887																																																							
AUR62029889																																																							
AUR62029890																																																							
AUR62029892																																																							
AUR62029891																																																							
AUR62029894																																																							
AUR62029893																																																							
AUR62029895																																																							
AUR62029897																																																							
AUR62029898																																																							
AUR62029899																																																							
AUR62029900																																																							
AUR62029901																																																							
AUR62029902																																																							
AUR62029903																																																							
AUR62029905																																																							
AUR62029904																																																							
AUR62029907																																																							
AUR62029908																																																							
AUR62029906																																																							
AUR62029909																																																							
AUR62029910																																																							
AUR62029911																																																							
AUR62029913																																																							
AUR62029912																																																							
AUR62029916																																																							
AUR62029917																																																							
AUR62029915																																																							
AUR62029922																																																							
AUR62029918																																																							
AUR62029919																																																							
AUR62029920																																																							
AUR62029921																																																							
AUR62029923																																																							
AUR62029927																																																							
AUR62029926																																																							
AUR62029925																																																							
AUR62029924																																																							
AUR62029928																																																							
AUR62029929																																																							
AUR62029930																																																							
AUR62029931																																																							
AUR62029934																																																							
AUR62029933																																																							
AUR62029932																																																							
AUR62029935																																																							
AUR62029936																																																							
AUR62029937																																																							
AUR62029938																																																							
AUR62029940																																																							
AUR62029941																																																							
AUR62029942																																																							
AUR62029943																																																							
AUR62029945																																																							
AUR62029948																																																							
AUR62029944																																																							
AUR62029947																																																							
AUR62029946																																																							
AUR62029952																																																							
AUR62029953																																																							
AUR62029954																																																							
AUR62029955																																																							
AUR62029956																																																							
AUR62029958																																																							
AUR62029957																																																							
AUR62029959																																																							
AUR62029960																																																							
AUR62043808																																																							
AUR62043811																																																							
AUR62043470																																																							
AUR62043466																																																							
AUR62043467																																																							
AUR62043468																																																							
AUR62044070																																																							
AUR62016255																																																							
AUR62016254																																																							
AUR62016256																																																							
AUR62016260																																																							
AUR62016257																																																							
AUR62016258																																																							
AUR62016264																																																							
AUR62016262																																																							
AUR62016269																																																							
AUR62016270																																																							
AUR62016268																																																							
AUR62016265																																																							
AUR62016267																																																							
AUR62016266																																																							
AUR62016271																																																							
AUR62016275																																																							
AUR62016277																																																							
AUR62016274																																																							
AUR62016279																																																							
AUR62016273																																																							
AUR62016280																																																							
AUR62016283																																																							
AUR62016287																																																							
AUR62016286																																																							
AUR62016284																																																							
AUR62016295																																																							
AUR62016290																																																							
AUR62016288																																																							
AUR62016301																																																							
AUR62016292																																																							
AUR62016291																																																							
AUR62016293																																																							
AUR62016289																																																							
AUR62016296																																																							
AUR62016298																																																							
AUR62016297																																																							
AUR62016302																																																							
AUR62016303																																																							
AUR62016300																																																							
AUR62016299																																																							
AUR62016312																																																							
AUR62016311																																																							
AUR62016305																																																							
AUR62016306																																																							
AUR62016307																																																							
AUR62016308																																																							
AUR62016309																																																							
AUR62016304																																																							
AUR62016316																																																							
AUR62016314																																																							
AUR62016317																																																							
AUR62016315																																																							
AUR62016318																																																							
AUR62016313																																																							
AUR62016331																																																							
AUR62016326																																																							
AUR62016321																																																							
AUR62016322																																																							
AUR62016325																																																							
AUR62016330																																																							
AUR62016328																																																							
AUR62016323																																																							
AUR62016324																																																							
AUR62016327																																																							
AUR62016341																																																							
AUR62016335																																																							
AUR62016332																																																							
AUR62016337																																																							
AUR62016343																																																							
AUR62016334																																																							
AUR62016336																																																							
AUR62016333																																																							
AUR62016342																																																							
AUR62016345																																																							
AUR62016350																																																							
AUR62016348																																																							
AUR62016349																																																							
AUR62016347																																																							
AUR62016361																																																							
AUR62016352																																																							
AUR62016354																																																							
AUR62016356																																																							
AUR62016353																																																							
AUR62016358																																																							
AUR62016351																																																							
AUR62016360																																																							
AUR62016362																																																							
AUR62016370																																																							
AUR62016369																																																							
AUR62016366																																																							
AUR62016365																																																							
AUR62016363																																																							
AUR62016364																																																							
AUR62016373																																																							
AUR62016380																																																							
AUR62016377																																																							
AUR62016381																																																							
AUR62016378																																																							
AUR62016379																																																							
AUR62016375																																																							
AUR62016376																																																							
AUR62016384																																																							
AUR62016383																																																							
AUR62016385																																																							
AUR62016387																																																							
AUR62016388																																																							
AUR62016390																																																							
AUR62016386																																																							
AUR62016382																																																							
AUR62016395																																																							
AUR62016392																																																							
AUR62016393																																																							
AUR62016391																																																							
AUR62016394																																																							
AUR62016399																																																							
AUR62016398																																																							
AUR62016401																																																							
AUR62016403																																																							
AUR62016402																																																							
AUR62016405																																																							
AUR62016397																																																							
AUR62016400																																																							
AUR62016404																																																							
AUR62016396																																																							
AUR62016407																																																							
AUR62016406																																																							
AUR62016408																																																							
AUR62016409																																																							
AUR62016410																																																							
AUR62016414																																																							
AUR62016415																																																							
AUR62016413																																																							
AUR62016423																																																							
AUR62016422																																																							
AUR62016420																																																							
AUR62016417																																																							
AUR62016416																																																							
AUR62016426																																																							
AUR62016427																																																							
AUR62016424																																																							
AUR62016433																																																							
AUR62016431																																																							
AUR62016432																																																							
AUR62016428																																																							
AUR62016434																																																							
AUR62016430																																																							
AUR62016429																																																							
AUR62016438																																																							
AUR62016437																																																							
AUR62016439																																																							
AUR62016435																																																							
AUR62016436																																																							
AUR62016445																																																							
AUR62016446																																																							
AUR62016440																																																							
AUR62016442																																																							
AUR62016444																																																							
AUR62016451																																																							
AUR62016452																																																							
AUR62016456																																																							
AUR62016447																																																							
AUR62016448																																																							
AUR62016453																																																							
AUR62016449																																																							
AUR62016455																																																							
AUR62016450																																																							
AUR62016454																																																							
AUR62016459																																																							
AUR62016463																																																							
AUR62016457																																																							
AUR62016465																																																							
AUR62016461																																																							
AUR62016462																																																							
AUR62016460																																																							
AUR62016458																																																							
AUR62016472																																																							
AUR62016470																																																							
AUR62016468																																																							
AUR62016467																																																							
AUR62016466																																																							
AUR62016469																																																							
AUR62016473																																																							
AUR62016474																																																							
AUR62016471																																																							
AUR62016475																																																							
AUR62016485																																																							
AUR62016478																																																							
AUR62016484																																																							
AUR62016479																																																							
AUR62016480																																																							
AUR62016476																																																							
AUR62016477																																																							
AUR62016490																																																							
AUR62016491																																																							
AUR62016492																																																							
AUR62016489																																																							
AUR62016488																																																							
AUR62016494																																																							
AUR62016495																																																							
AUR62016498																																																							
AUR62016497																																																							
AUR62016496																																																							
AUR62016502																																																							
AUR62016503																																																							
AUR62016501																																																							
AUR62016500																																																							
AUR62016499																																																							
AUR62016504																																																							
AUR62016505																																																							
AUR62016507																																																							
AUR62016511																																																							
AUR62016506																																																							
AUR62016510																																																							
AUR62016509																																																							
AUR62016508																																																							
AUR62016519																																																							
AUR62016522																																																							
AUR62016518																																																							
AUR62016517																																																							
AUR62016514																																																							
AUR62016516																																																							
AUR62016513																																																							
AUR62016520																																																							
AUR62016515																																																							
AUR62016526																																																							
AUR62016527																																																							
AUR62016524																																																							
AUR62016530																																																							
AUR62016528																																																							
AUR62016529																																																							
AUR62016525																																																							
AUR62016531																																																							
AUR62016533																																																							
AUR62016532																																																							
AUR62016535																																																							
AUR62016536																																																							
AUR62016538																																																							
AUR62016537																																																							
AUR62016534																																																							
AUR62016540																																																							
AUR62016545																																																							
AUR62016541																																																							
AUR62016543																																																							
AUR62016542																																																							
AUR62016547																																																							
AUR62016539																																																							
AUR62016544																																																							
AUR62016546																																																							
AUR62016550																																																							
AUR62016548																																																							
AUR62016549																																																							
AUR62016558																																																							
AUR62016556																																																							
AUR62016553																																																							
AUR62016554																																																							
AUR62016559																																																							
AUR62016555																																																							
AUR62016552																																																							
AUR62016564																																																							
AUR62016561																																																							
AUR62016565																																																							
AUR62016563																																																							
AUR62016562																																																							
AUR62016560																																																							
AUR62016567																																																							
AUR62016575																																																							
AUR62016570																																																							
AUR62016574																																																							
AUR62016566																																																							
AUR62016576																																																							
AUR62016573																																																							
AUR62016571																																																							
AUR62016577																																																							
AUR62016572																																																							
AUR62016568																																																							
AUR62016578																																																							
AUR62016569																																																							
AUR62044494																																																							
AUR62044492																																																							
AUR62044495																																																							
AUR62044493																																																							
AUR62042591																																																							
AUR62042592																																																							
AUR62042594																																																							
AUR62042593																																																							
AUR62042595																																																							
AUR62042596																																																							
AUR62042597																																																							
AUR62042598																																																							
AUR62042601																																																							
AUR62042600																																																							
AUR62042599																																																							
AUR62042602																																																							
AUR62044219																																																							
AUR62044221																																																							
AUR62044220																																																							
AUR62042329																																																							
AUR62042323																																																							
AUR62042331																																																							
AUR62042327																																																							
AUR62042325																																																							
AUR62042330																																																							
AUR62042328																																																							
AUR62042326																																																							
AUR62042324																																																							
AUR62042335																																																							
AUR62042337																																																							
AUR62042333																																																							
AUR62042332																																																							
AUR62042334																																																							
AUR62042336																																																							
AUR62042339																																																							
AUR62042343																																																							
AUR62042351																																																							
AUR62042344																																																							
AUR62042338																																																							
AUR62042341																																																							
AUR62042342																																																							
AUR62042345																																																							
AUR62042346																																																							
AUR62042340																																																							
AUR62042349																																																							
AUR62042348																																																							
AUR62042347																																																							
AUR62042353																																																							
AUR62042352																																																							
AUR62042354																																																							
AUR62042355																																																							
AUR62042356																																																							
AUR62044125																																																							
AUR62044336																																																							
AUR62044335																																																							
AUR62044334																																																							
AUR62044024																																																							
AUR62036690																																																							
AUR62036689																																																							
AUR62036695																																																							
AUR62036696																																																							
AUR62036697																																																							
AUR62036698																																																							
AUR62036694																																																							
AUR62036692																																																							
AUR62036693																																																							
AUR62036691																																																							
AUR62036699																																																							
AUR62036701																																																							
AUR62036702																																																							
AUR62036703																																																							
AUR62036705																																																							
AUR62036704																																																							
AUR62036706																																																							
AUR62036708																																																							
AUR62036709																																																							
AUR62036714																																																							
AUR62036711																																																							
AUR62036713																																																							
AUR62036710																																																							
AUR62036716																																																							
AUR62036720																																																							
AUR62036718																																																							
AUR62036719																																																							
AUR62036717																																																							
AUR62036724																																																							
AUR62036721																																																							
AUR62036725																																																							
AUR62036722																																																							
AUR62036723																																																							
AUR62036726																																																							
AUR62036730																																																							
AUR62036732																																																							
AUR62036731																																																							
AUR62036733																																																							
AUR62036734																																																							
AUR62036729																																																							
AUR62036735																																																							
AUR62036737																																																							
AUR62036738																																																							
AUR62036739																																																							
AUR62036741																																																							
AUR62036745																																																							
AUR62036743																																																							
AUR62036746																																																							
AUR62036742																																																							
AUR62036747																																																							
AUR62036744																																																							
AUR62036740																																																							
AUR62036748																																																							
AUR62036749																																																							
AUR62036751																																																							
AUR62036752																																																							
AUR62036753																																																							
AUR62036754																																																							
AUR62036756																																																							
AUR62036761																																																							
AUR62036759																																																							
AUR62036760																																																							
AUR62036757																																																							
AUR62036758																																																							
AUR62036755																																																							
AUR62036762																																																							
AUR62036764																																																							
AUR62036763																																																							
AUR62036765																																																							
AUR62036766																																																							
AUR62036767																																																							
AUR62036769																																																							
AUR62036768																																																							
AUR62036771																																																							
AUR62036772																																																							
AUR62036773																																																							
AUR62043820																																																							
AUR62043821																																																							
AUR62044193																																																							
AUR62044192																																																							
AUR62044515																																																							
AUR62042799																																																							
AUR62042802																																																							
AUR62042803																																																							
AUR62042801																																																							
AUR62042800																																																							
AUR62042804																																																							
AUR62042805																																																							
AUR62042807																																																							
AUR62042808																																																							
AUR62042810																																																							
AUR62042811																																																							
AUR62042812																																																							
AUR62042813																																																							
AUR62042815																																																							
AUR62042814																																																							
AUR62042816																																																							
AUR62044581																																																							
AUR62044582																																																							
AUR62043301																																																							
AUR62043300																																																							
AUR62043303																																																							
AUR62043299																																																							
AUR62043304																																																							
AUR62043305																																																							
AUR62043307																																																							
AUR62043306																																																							
AUR62043308																																																							
AUR62043978																																																							
AUR62043974																																																							
AUR62043975																																																							
AUR62043977																																																							
AUR62043973																																																							
AUR62043976																																																							
AUR62043030																																																							
AUR62043035																																																							
AUR62043032																																																							
AUR62043034																																																							
AUR62043033																																																							
AUR62043037																																																							
AUR62043036																																																							
AUR62043038																																																							
AUR62043039																																																							
AUR62043040																																																							
AUR62043041																																																							
AUR62042438																																																							
AUR62042437																																																							
AUR62042439																																																							
AUR62042441																																																							
AUR62042442																																																							
AUR62042444																																																							
AUR62042445																																																							
AUR62042446																																																							
AUR62042448																																																							
AUR62042450																																																							
AUR62042449																																																							
AUR62042452																																																							
AUR62042451																																																							
AUR62034763																																																							
AUR62034762																																																							
AUR62034764																																																							
AUR62034766																																																							
AUR62034767																																																							
AUR62034768																																																							
AUR62034769																																																							
AUR62034772																																																							
AUR62034771																																																							
AUR62034773																																																							
AUR62034774																																																							
AUR62034777																																																							
AUR62034779																																																							
AUR62034778																																																							
AUR62034780																																																							
AUR62034782																																																							
AUR62034781																																																							
AUR62034785																																																							
AUR62034784																																																							
AUR62034783																																																							
AUR62034787																																																							
AUR62034788																																																							
AUR62034786																																																							
AUR62034789																																																							
AUR62034790																																																							
AUR62034792																																																							
AUR62034791																																																							
AUR62034793																																																							
AUR62034794																																																							
AUR62034796																																																							
AUR62034797																																																							
AUR62034795																																																							
AUR62034798																																																							
AUR62034799																																																							
AUR62034801																																																							
AUR62034800																																																							
AUR62034802																																																							
AUR62034806																																																							
AUR62034805																																																							
AUR62034804																																																							
AUR62034803																																																							
AUR62034807																																																							
AUR62034809																																																							
AUR62034808																																																							
AUR62034810																																																							
AUR62034811																																																							
