gene	Targeting	plantID	dipRatio	tetRatio
AUR62016573_AUR62003727	Not-organelle-targeted	Plant3	1.20821895627201	1.08557455477761
AUR62016573_AUR62003727	Not-organelle-targeted	Plant4	1.13333316993761	1.10851617486304
AUR62016573_AUR62003727	Not-organelle-targeted	Plant5	1.04923610304589	1.08214490932121
AUR62015229_AUR62017693	Not-organelle-targeted	Plant2	0.8483656547149	1.03378872560138
AUR62015229_AUR62017693	Not-organelle-targeted	Plant3	0.9277811057928	1.02389370402706
AUR62015229_AUR62017693	Not-organelle-targeted	Plant4	0.947847450903532	1.02243400498089
AUR62015229_AUR62017693	Not-organelle-targeted	Plant5	0.965157882613177	1.05581794944034
AUR62034533_AUR62014464	Not-organelle-targeted	Plant2	1.12110681010019	1.0160683731812
AUR62034533_AUR62014464	Not-organelle-targeted	Plant3	0.980448163342086	1.04320219606231
AUR62034533_AUR62014464	Not-organelle-targeted	Plant4	0.967580143890891	0.947657681400291
AUR62034533_AUR62014464	Not-organelle-targeted	Plant5	0.969385700650878	0.950392893076635
AUR62028698_AUR62008120	Not-organelle-targeted	Plant2	1.07982348390305	1.03283586475664
AUR62028698_AUR62008120	Not-organelle-targeted	Plant3	1.12605161850826	1.01673205649518
AUR62028698_AUR62008120	Not-organelle-targeted	Plant4	0.960041577000699	1.01389889135613
AUR62028698_AUR62008120	Not-organelle-targeted	Plant5	0.951637290782451	1.01678072133237
AUR62018235_AUR62037768	Not-organelle-targeted	Plant2	1.18238981038622	1.00967106521313
AUR62018235_AUR62037768	Not-organelle-targeted	Plant3	1.21132888196497	1.00955022840121
AUR62018235_AUR62037768	Not-organelle-targeted	Plant4	1.20811332528148	1.04101033816367
AUR62018235_AUR62037768	Not-organelle-targeted	Plant5	1.14667739948193	1.01708451864255
AUR62002238_AUR62015450	Not-organelle-targeted	Plant2	1.00433132746244	1.0583505147011
AUR62002238_AUR62015450	Not-organelle-targeted	Plant3	1.06100574905709	1.23621319046136
AUR62002238_AUR62015450	Not-organelle-targeted	Plant4	1.13089154848638	1.09738850160018
AUR62002238_AUR62015450	Not-organelle-targeted	Plant5	1.11633639575714	1.02915761723963
AUR62011165_AUR62013320	Not-organelle-targeted	Plant2	0.889841795753343	0.88533132564044
AUR62011165_AUR62013320	Not-organelle-targeted	Plant3	0.946066305571833	0.967854256870426
